MtoS.X,MtoS.Y,MtoS.Z,MtoS.rX,MtoS.rY,MtoS.rZ,A_x,StoFRC.X,StoFRC.Y,StoFRC.Z,StoFRC.rX,StoFRC.rY,StoFRC.rZ
662.364,0.084,0.022,-0.073918,0.005219,-0.035543,-0.013801,-662.180,0.561,-0.488,0.064268,-0.033813,-0.048562,
553.353,0.057,0.054,-0.111340,0.014536,-0.027538,-0.015798,-553.165,0.480,-0.663,0.113302,-0.052046,-0.049185,
900.724,0.054,0.031,0.509907,0.008747,-0.027178,-0.003726,-900.542,1.115,-1.067,-0.455812,-0.056003,-0.066398,
205.761,0.062,-0.033,-1.047719,-0.015120,-0.027536,0.015446,-205.592,0.180,-0.099,1.023626,-0.015594,-0.050493,
106.813,0.065,-0.047,-0.163209,-0.019966,-0.028261,0.021211,-106.647,0.070,-0.100,0.115970,-0.019742,-0.047678,
224.621,0.071,-0.010,0.847864,-0.009675,-0.029918,0.008330,-224.448,0.121,-0.158,-0.903691,-0.021392,-0.042102,
343.638,0.076,-0.027,-0.290906,-0.014619,-0.031016,0.011898,-343.465,0.167,-0.256,0.209808,-0.027723,-0.038079,
-87.111,0.089,0.005,-0.622413,-0.004094,-0.034769,0.012710,87.284,-0.082,-0.061,0.599266,-0.033992,-0.048646,
-772.435,0.099,-0.012,-0.854978,-0.007986,-0.037942,0.027941,772.596,-0.783,0.373,0.870675,-0.037712,-0.061085,
-4219.336,0.128,-0.013,0.131266,-0.007427,-0.046529,0.027914,4219.492,-5.635,1.972,-0.061549,-0.027954,-0.078195,
-744.000,0.160,-0.021,1.189387,-0.010683,-0.055292,0.023874,744.160,-0.923,0.203,-1.133506,-0.019227,-0.081253,
901.689,0.160,-0.023,-0.229874,-0.009111,-0.055926,0.018877,-901.524,1.426,-0.398,0.293168,-0.021560,-0.081979,
-914.865,0.162,-0.023,-0.597224,-0.007455,-0.057045,0.013067,915.031,-1.192,0.287,0.668756,-0.022998,-0.083374,
-13956.861,0.162,-0.018,0.944326,-0.006763,-0.057259,0.006943,13957.015,-19.723,5.547,-0.880649,-0.021781,-0.081863,
-1369.410,0.161,-0.018,1.500006,-0.007235,-0.056977,0.000000,1369.582,-1.811,0.490,-1.437922,-0.021218,-0.081911,
-13956.861,0.162,-0.018,0.944326,-0.006763,-0.057259,0.006943,13957.015,-19.723,5.547,-0.880649,-0.021781,-0.081863,
205.761,0.062,-0.033,-1.047719,-0.015120,-0.027536,0.015446,-205.592,0.180,-0.099,1.023626,-0.015594,-0.050493,
156.983,0.103,0.003,-0.323107,-0.005155,-0.038627,0.010880,-156.810,0.097,-0.181,0.280393,-0.030141,-0.045082,
-744.000,0.160,-0.021,1.189387,-0.010683,-0.055292,0.023874,744.160,-0.923,0.203,-1.133506,-0.019227,-0.081253,
-742.161,0.172,-0.009,1.200728,-0.007873,-0.058380,0.023161,742.324,-0.926,0.209,-1.169853,-0.019976,-0.081072,
205.761,0.062,-0.033,-1.047719,-0.015120,-0.027536,0.015446,-205.592,0.180,-0.099,1.023626,-0.015594,-0.050493,
1160.148,-0.012,0.018,0.034178,0.006046,0.000381,0.011652,-1159.979,0.263,-0.041,0.021656,-0.002025,-0.014836,
-1665.296,-0.013,0.018,-0.016267,0.005833,0.000045,0.002795,1665.460,-0.532,0.122,0.066372,-0.004073,-0.017217,
1160.148,-0.012,0.018,0.034178,0.006046,0.000381,0.011652,-1159.979,0.263,-0.041,0.021656,-0.002025,-0.014836,
-1665.296,-0.013,0.018,-0.016267,0.005833,0.000045,0.002795,1665.460,-0.532,0.122,0.066372,-0.004073,-0.017217,
104.201,0.039,0.017,-0.133567,0.009969,-0.014100,0.003446,-103.862,0.218,-0.374,0.266624,-0.069571,-0.078956,
-16.455,0.030,-0.032,0.287939,-0.006443,-0.012286,0.004097,16.796,-0.009,-0.195,-0.204742,-0.058125,-0.064251,
90.644,0.030,-0.043,-0.514819,-0.008922,-0.011890,0.007366,-90.304,0.121,-0.289,0.614229,-0.056023,-0.064640,
171.742,0.032,-0.065,-0.034156,-0.014205,-0.011295,0.009202,-171.403,0.243,-0.321,0.170840,-0.048531,-0.068280,
-16.455,0.030,-0.032,0.287939,-0.006443,-0.012286,0.004097,16.796,-0.009,-0.195,-0.204742,-0.058125,-0.064251,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,95.675,2.826,-13.148,-0.306199,0.010350,-2.948944,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,100.519,1.736,-24.980,-0.343028,-0.198224,1.438796,
0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,99.776,2.436,-24.948,-0.156405,-0.195941,1.107456,
126.039,-1.218,1.140,-67.566895,-0.332707,89.774543,0.000000,266.350,125.985,-110.974,-0.494930,178.516741,-89.697759,
-73.556,-52.033,-216.610,-2.218862,48.402564,2.285358,0.000000,467.515,48.597,-8.454,0.572399,46.344130,-1.865292,
-387.028,-266.201,-40.683,-58.808956,39.137104,50.897169,0.000000,523.847,-45.157,-489.798,-31.748540,75.944262,-6.302477,
